timestamp,sum_count,mean_count,mean_temp,mean_humidity,mean_wind_speed
2015-07-29,36761,1531.7083333333333,15.833333333333334,60.895833333333336,19.666666666666668
2015-07-30,36145,1506.0416666666667,15.9375,60.208333333333336,14.854166666666666
2015-07-31,36675,1528.125,16.958333333333332,58.645833333333336,8.1875
2015-08-01,43017,1792.375,17.666666666666668,55.6875,12.604166666666666
2015-08-02,43295,1803.9583333333333,19.791666666666668,57.770833333333336,12.5
2015-08-03,35402,1475.0833333333333,19.833333333333332,68.25,17.625
2015-08-04,37644,1568.5,18.270833333333332,61.0,22.916666666666668
2015-08-05,38770,1615.4166666666667,18.375,64.5625,11.0625
2015-08-06,63468,2644.5,19.4375,67.70833333333333,14.895833333333334
2015-08-07,39486,1645.25,19.520833333333332,62.708333333333336,8.958333333333334
2015-08-08,38993,1624.7083333333333,19.729166666666668,69.4375,11.041666666666666
2015-08-09,40441,1685.0416666666667,21.25,55.8125,12.270833333333334
2015-08-10,35335,1472.2916666666667,20.333333333333332,74.02083333333333,18.104166666666668
2015-08-11,34318,1429.9166666666667,18.3125,64.5625,7.4375
2015-08-12,36548,1522.8333333333333,18.541666666666668,70.39583333333333,16.770833333333332
2015-08-13,25974,1082.25,18.9375,83.89583333333333,15.145833333333334
2015-08-14,25419,1059.125,19.020833333333332,85.60416666666667,12.541666666666666
2015-08-15,33739,1405.7916666666667,17.583333333333332,63.291666666666664,13.5
2015-08-16,30616,1275.6666666666667,16.8125,63.416666666666664,7.0
2015-08-17,35695,1487.2916666666667,17.8125,55.770833333333336,9.666666666666666
2015-08-18,34530,1438.75,17.625,59.520833333333336,16.145833333333332
2015-08-19,31640,1318.3333333333333,17.9375,68.5,15.083333333333334
2015-08-20,32554,1356.4166666666667,19.041666666666668,81.375,13.8125
2015-08-21,35882,1495.0833333333333,22.104166666666668,68.91666666666667,14.5625
2015-08-22,44187,1841.125,23.208333333333332,62.770833333333336,12.291666666666666
2015-08-23,27001,1125.0416666666667,19.5,68.0,16.854166666666668
2015-08-24,17400,725.0,15.833333333333334,87.45833333333333,13.375
2015-08-25,28152,1173.0,16.208333333333332,79.33333333333333,20.104166666666668
2015-08-26,23738,989.0833333333334,18.25,80.72916666666667,21.979166666666668
2015-08-27,30528,1272.0,16.770833333333332,73.04166666666667,17.5
2015-08-28,32950,1372.9166666666667,16.958333333333332,66.9375,15.8125
2015-08-29,22618,942.4166666666666,18.291666666666668,72.72916666666667,7.770833333333333
2015-08-30,24972,1040.5,17.833333333333332,80.3125,10.479166666666666
2015-08-31,9639,401.625,15.479166666666666,89.54166666666667,10.4375
2015-09-01,25556,1064.8333333333333,15.479166666666666,79.83333333333333,9.5
2015-09-02,30180,1257.5,14.6875,73.25,10.229166666666666
2015-09-03,30950,1289.5833333333333,13.9375,68.75,12.958333333333334
2015-09-04,29709,1237.875,14.291666666666666,65.33333333333333,13.125
2015-09-05,22317,929.875,13.4375,71.47916666666667,11.291666666666666
2015-09-06,29429,1226.2083333333333,14.125,64.70833333333333,9.8125
2015-09-07,31692,1320.5,14.333333333333334,72.16666666666667,9.8125
2015-09-08,32781,1365.875,14.145833333333334,73.375,8.375
2015-09-09,33116,1379.8333333333333,15.8125,71.64583333333333,14.083333333333334
2015-09-10,35734,1488.9166666666667,16.1875,71.83333333333333,15.0
